0,35974,37168
0,37168,38567
0,38567,38998
0,38998,39697
0,39697,35974
1,36499,35382
1,35382,35056
1,35056,37222
1,37222,39457
1,39457,36499
2,37939,37321
2,37321,35526
2,35526,35312
2,35312,40959
2,40959,37939
3,35478,37405
3,37405,36769
3,36769,38490
3,38490,34960
3,34960,35478
4,38914,37636
4,37636,37451
4,37451,37397
4,37397,39420
4,39420,38914
5,38417,38935
5,38935,36971
5,36971,37617
5,37617,40556
5,40556,38417
6,39317,40552
6,40552,38894
6,38894,40940
6,40940,40725
6,40725,39317
7,40367,39596
7,39596,39495
7,39495,36157
7,36157,39850
7,39850,40367
8,40961,36445
8,36445,39660
8,39660,40949
8,40949,40132
8,40132,40961
9,39810,39695
9,39695,38362
9,38362,39211
9,39211,40473
9,40473,39810
10,40893,40945
10,40945,40365
10,40365,40537
10,40537,40792
10,40792,40893
11,39410,37916
11,37916,40071
11,40071,40934
11,40934,40943
11,40943,39410
12,10445,16574
12,16574,22650
12,22650,13521
12,13521,24741
12,24741,16827
12,16827,10445
13,19248,22240
13,22240,22176
13,22176,19320
13,19320,28274
13,28274,18693
13,18693,19248
14,12098,16176
14,16176,10290
14,10290,11426
14,11426,18103
14,18103,22745
14,22745,12098
15,11797,31279
15,31279,18498
15,18498,10871
15,10871,16385
15,16385,10340
15,10340,11797
16,31042,33642
16,33642,21285
16,21285,12107
16,12107,28209
16,28209,12824
16,12824,31042
17,10976,26200
17,26200,22847
17,22847,12110
17,12110,16610
17,16610,10386
17,10386,10976
18,24748,24056
18,24056,20641
18,20641,11568
18,11568,25401
18,25401,25398
18,25398,24748
19,12646,29651
19,29651,18141
19,18141,13738
19,13738,22634
19,22634,20040
19,20040,12646
20,12451,25570
20,25570,12478
20,12478,12481
20,12481,18303
20,18303,10813
20,10813,12451
21,22350,21843
21,21843,11916
21,11916,25313
21,25313,25309
21,25309,24276
21,24276,22350
22,27380,21538
22,21538,11831
22,11831,29277
22,29277,28886
22,28886,12937
22,12937,27380
23,10530,26434
23,26434,23079
23,23079,16685
23,16685,16689
23,16689,10407
23,10407,10530
24,16039,18722
24,18722,10938
24,10938,11114
24,11114,22330
24,22330,16040
24,16040,16039
25,28448,28444
25,28444,24638
25,24638,22622
25,22622,22110
25,22110,12008
25,12008,28448
26,11523,17590
26,17590,10615
26,10615,11338
